driver_name,total_races,total_points,avg_points
Lewis Hamilton,177,1478,8.350282485875706
Sebastian Vettel,164,1282,7.817073170731708
Nico Rosberg,93,673,7.236559139784946
Max Verstappen,88,605,6.875
Valtteri Bottas,117,793,6.777777777777778
Fernando Alonso,95,584,6.147368421052631
Kimi Räikkönen,121,721,5.958677685950414
Daniel Ricciardo,111,639,5.756756756756757
Jenson Button,69,377,5.463768115942029
Felipe Massa,94,427,4.542553191489362
Romain Grosjean,59,244,4.135593220338983
Sergio Pérez,116,446,3.8448275862068964
Carlos Sainz,65,244,3.753846153846154
Nico Hülkenberg,90,329,3.6555555555555554
