team_name,total_races,total_points,avg_points
Mercedes,385,2935,7.623376623376624
Ferrari,1463,10388,7.100478468899522
McLaren,1034,6876,6.649903288201161
Red Bull,435,2866,6.588505747126437
Williams,745,4759,6.387919463087249
Benetton,296,1806,6.101351351351352
Team Lotus,352,2100,5.965909090909091
Cooper-Climax,129,764,5.922480620155039
Brabham,235,1373,5.842553191489362
BRM,215,1212,5.637209302325582
Renault,385,2105,5.467532467532467
Maserati,167,879,5.263473053892215
Tyrrell,339,1749,5.15929203539823
Jordan,184,882,4.793478260869565
Ligier,248,1134,4.57258064516129
BAR,112,509,4.544642857142857
Toyota,130,535,4.115384615384615
March,136,550,4.044117647058823
Arrows,196,730,3.7244897959183674
Sauber,298,1058,3.5503355704697985
Force India,211,742,3.5165876777251186
Minardi,113,330,2.920353982300885
Toro Rosso,158,438,2.7721518987341773
